,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
149,pengguna berbicara apa itu mulut kok seperti beli kaca dulu lihat dirimu bro,1,1,1,0,0,0,0,1,0,1,0,0
150,pengguna ada amin racist ada amat dani ada ratna sih paiiit ada sih ada sih lobang anus jadi jangan takut oi oi kehabisan obat penenang ya,1,1,1,0,0,0,0,0,1,1,0,0
151,pengguna tunggu komando imam cabul pengguna bir apa apa bawa ulama dasar banj sempak,1,1,1,0,0,0,0,1,0,1,0,0
152,kabinet berantakan pemecah belah persatuan hanya ada di ini,1,0,0,1,0,0,0,0,1,0,1,0
153,ih mengakui lebih pintar dari orang politik mengaca dulu oi tampang kamu saja k k orang pengguna wkwk,1,1,1,0,0,0,1,0,0,1,0,0
154,partai demokrasi indonesia perjuangan menang dengan menekan perusahaan tambang dengan target proyek yang impossible lalu dilelang murah pada cina ntb contoh kasus partai demokrasi indonesia perjuangan mau menang dasar,1,1,0,1,0,0,0,0,1,0,1,0
155,pengguna pengguna tidak percaya sama mulut mu bawang,1,1,1,0,0,0,0,0,1,1,0,0
156,2019 jika susilo bambang yudhoyono prabowo menyatu melawan mega jokowi maka peristiwa 2004 akan terulang dimana partai demokrasi indonesia perjuangan yang incumbent dikalahkan mutlak oleh susilo bambang yudhoyono tetapi jika jokowi mega susilo bambang yudhoyono melawan prabowo mk pemilihan presiden selesai sudah jika 3 poros di pemilihan presiden mk salah satu lawan,0,0,0,0,0,0,0,0,0,0,0,0
157,rt pengguna pengguna jangan kayak kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing di pemilihan presiden 2019 melawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0
158,bebal,0,0,0,0,0,0,0,0,0,0,0,0
159,5 yang terakhir karena indonesia negara dengan populasi muslim terbesar di dunia yang mana islam saat ini merupakan musuh barat amp karena dapat menghambat agenda dan kepentingan mereka obviously,0,0,0,0,0,0,0,0,0,0,0,0
160,pengguna pengguna umuh begitu persib persib,1,1,0,1,0,0,0,0,1,0,1,0
161,pengguna pengguna buat film muslim pilih ahok mati enggak di disalatkan dijamin laris,1,0,1,0,0,0,0,0,1,1,0,0
162,tapi banu banu yahudi itu tentu beda dengan banu banu kristen suriah salah satu perbedaan ada banu yahudi tetap pakai eloah elohim yahwe sedangkan suriah sudah pakai alah allah,0,0,0,0,0,0,0,0,0,0,0,0
163,pengguna eh kenapa muka merah merah itu tak dapat cendol ke bukan lah cuaca sekarang nih panas,0,1,0,0,0,0,0,0,0,0,0,0
164,pemberitaan saracen diframing katak seakan tim prabowo dan anies sandi sebenarnya itu media menumpahkan sakit hati katak dan ehe,1,1,0,1,0,0,0,0,1,0,1,0
165,giat bhayangkara pembina keamanan dan ketertiban masyarakat brigadir polisi manajemen berbasis sekolah sihombing pada hari ini rabu 11 april 2018 melaksanakan sambang desa dan tatap muka sekaligus memantau keamanan dan ketertiban masyarakat menuju pilihan kepala daerah 2018 di desa lobusiregar i tepatnya di rumah rudi panjaitan helman siahaan dan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0
166,sayang banget ya melihat perempuan kayak begini tidak ada status apa apa tetapi sudah menempel sama laki laki sana sini aduh nagita slavina blak blak sebut ayu ting ting viva uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
167,pengguna jangan lupa juga kang umat katolik dan minoritas lainnya diperhatikan gubernur untuk semua golongan bukan satu golongan,0,0,0,0,0,0,0,0,0,0,0,0
168,pengguna pengguna pengguna pengguna kan saya bukan sudah dibilangi dari kemarin masih mengeyel situ memaksa saya jadi,1,1,1,0,0,0,0,0,1,1,0,0
169,pengguna kelemahan gerindra itu ada di orang ini prabowo turun elektabilitasnya karena fadli zon surat pemberitahuan tahunan durno,1,1,1,0,0,0,0,0,1,1,0,0
170,selamat hari kartini setiap kali selalu dirayakan lalu apa maknanya kali ini,0,0,0,0,0,0,0,0,0,0,0,0
171,foto memang tetapi memiliki banyak arti yang susah diartikan sama seperti kamu susah diartikan mau putus atau lanjut,0,0,0,0,0,0,0,0,0,0,0,0
172,pengguna wkwk aku sudah mengalaminya setibanya muncul grub wa a dan abdi hadi a k a mbahku dan seketika aku mek kenal beberapa orang saja,0,0,0,0,0,0,0,0,0,0,0,0
173,ayah pres badar dan nuqaba paling boekkk dia nih hebat dalam bidang agama x takut natural killer tegur member sendiri dan selalu buat lawak hambar yang paling aku ingat sampai sekarang lawak dia kalau orang cukup jom gerak sekarang dia akan gerakan badan dia yang chubby itu,0,0,0,0,0,0,0,0,0,0,0,0
174,seorang anak pekan telah mengilhamkan dasar ekonomi baru deb dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar beliau adalah allah ya rahman tun abdul razak ds pengguna malaysia memilih hogohundi,0,0,0,0,0,0,0,0,0,0,0,0
